URL,Airline,Year,Top/Base,Salary_info,salary,currency,gross-net
https://www.pilotjobsnetwork.com/jobs/Air_Serbia,Air Serbia,2016,CaptMax,5500 eur (includes flight pay credit),66000,EUR,
https://www.pilotjobsnetwork.com/jobs/Air_Serbia,Air Serbia,2016,CaptMin,4400 eur (includes flight pay credit),52800,EUR,
https://www.pilotjobsnetwork.com/jobs/Tassili_Airlines,Tassili Airlines,2023,CaptMax,9000USD,108000,USD,
https://www.pilotjobsnetwork.com/jobs/Tassili_Airlines,Tassili Airlines,2023,CaptMin,5000USD,60000,USD,
https://www.pilotjobsnetwork.com/jobs/Air_Nostrum,Air Nostrum,2010,CaptMax,6000E/m average,72000,EUR,
https://www.pilotjobsnetwork.com/jobs/Air_Nostrum,Air Nostrum,2015,CaptMin,4000Ã¢âÂ¬/m plus 1000Ã¢âÂ¬ /m per diems,48000,EUR,
https://www.pilotjobsnetwork.com/jobs/Jet2.com,Jet2.com,2023,CaptMax,"From April 2023: Â£129,392. Plus profit share now 6% & 3 year Share Save Scheme.",130000,GBP,
https://www.pilotjobsnetwork.com/jobs/Jet2.com,Jet2.com,2023,CaptMin,"From April 2023: Â£129,392. Plus profit share now 6% & 3 year Share Save Scheme.",130000,GBP,
https://www.pilotjobsnetwork.com/jobs/Trade_Air,Trade Air,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Trade_Air,Trade Air,2021,CaptMin,"2500 EUR, but no guaranteed Salary anymore. Payment is per flown Block hour only.",30000,EUR,
https://www.pilotjobsnetwork.com/jobs/Flexjet_Europe,Flexjet Europe,2023,CaptMax,140000 Euro,140000,EUR,
https://www.pilotjobsnetwork.com/jobs/Flexjet_Europe,Flexjet Europe,2019,CaptMin,108000 Euro,108000,EUR,
https://www.pilotjobsnetwork.com/jobs/CityJet,CityJet,2023,CaptMax,"70,000 Dkk/Month",840000,DKK,
https://www.pilotjobsnetwork.com/jobs/CityJet,CityJet,2023,CaptMin,"70,000 Dkk/Month",840000,DKK,
https://www.pilotjobsnetwork.com/jobs/SundAir,SundAir,2017,CaptMax,"116.097,85 EUR pa. (incl. 800 BH)",116097,EUR,
https://www.pilotjobsnetwork.com/jobs/SundAir,SundAir,2017,CaptMin,"66.799,96 EUR pa. (incl 800 BH)",66800,EUR,
https://www.pilotjobsnetwork.com/jobs/Plus_Ultra,Plus Ultra,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Plus_Ultra,Plus Ultra,,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/Brussels_Airlines,Brussels Airlines,2019,CaptMax,12559,150708,EUR,
https://www.pilotjobsnetwork.com/jobs/Brussels_Airlines,Brussels Airlines,2019,CaptMin,7944,95328,EUR,
https://www.pilotjobsnetwork.com/jobs/Nicholas_Air,Nicholas Air,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Nicholas_Air,Nicholas Air,,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/Air_Dolomiti,Air Dolomiti,2023,CaptMax,6790,81480,EUR,net
https://www.pilotjobsnetwork.com/jobs/Air_Dolomiti,Air Dolomiti,2023,CaptMin,6344,76128,EUR,net
https://www.pilotjobsnetwork.com/jobs/DAS_Private_Jets_GmbH,DAS Private Jets GmbH,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/DAS_Private_Jets_GmbH,DAS Private Jets GmbH,,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/Excellent_Air_GmbH,Excellent Air GmbH,2023,CaptMax,7000,84000,EUR,
https://www.pilotjobsnetwork.com/jobs/Excellent_Air_GmbH,Excellent Air GmbH,2023,CaptMin,6000,72000,EUR,
https://www.pilotjobsnetwork.com/jobs/Zimex_Aviation,Zimex Aviation,2023,CaptMax,5080â¬ before tax,60960,EUR,gross
https://www.pilotjobsnetwork.com/jobs/Zimex_Aviation,Zimex Aviation,2023,CaptMin,1900â¬ before tax,22800,EUR,gross
https://www.pilotjobsnetwork.com/jobs/PADAVIATION,PADAVIATION,2020,CaptMax,6500,78000,EUR,
https://www.pilotjobsnetwork.com/jobs/PADAVIATION,PADAVIATION,2020,CaptMin,5500,66000,EUR,
https://www.pilotjobsnetwork.com/jobs/Air_Austral,Air Austral,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Air_Austral,Air Austral,,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/Buzz,Buzz,,CaptMax,,84000,EUR,gross
https://www.pilotjobsnetwork.com/jobs/Buzz,Buzz,2023,CaptMin,"Flat rate of 164,5 e/sbh gross, no difference between new command upgrade and experienced CPT.",84000,EUR,gross
https://www.pilotjobsnetwork.com/jobs/Jet_Time,Jet Time,2020,CaptMax,88.050 DKR,1056600,DKK,
https://www.pilotjobsnetwork.com/jobs/Jet_Time,Jet Time,2020,CaptMin,60.226 DKR,722712,DKK,
https://www.pilotjobsnetwork.com/jobs/Lufthansa_CityLine,Lufthansa CityLine,2023,CaptMax,203868 Euro p.a. after 15 yrs,203868,EUR,
https://www.pilotjobsnetwork.com/jobs/Lufthansa_CityLine,Lufthansa CityLine,2023,CaptMin,155628 Euro p.a. after 16 yrs F/O,155628,EUR,
https://www.pilotjobsnetwork.com/jobs/Luxair,Luxair,2023,CaptMax,16000+ Euro. But is not reachable anymore with a normal career,192000,EUR,gross
https://www.pilotjobsnetwork.com/jobs/Luxair,Luxair,2023,CaptMin,Appr. 7000 gross due to introduction of minus scales for new captains,84000,EUR,gross
https://www.pilotjobsnetwork.com/jobs/Swiss_International_Air_Lines,Swiss International Air Lines,2015,CaptMax,"CHF 17574,-/month (SCDR yr.28, 210'888,-/year) before tax",211000,CHF,gross
https://www.pilotjobsnetwork.com/jobs/Swiss_International_Air_Lines,Swiss International Air Lines,2015,CaptMin,"CHF 8897,-/month (CDR yr.1, 106'772,-) before tax. In theory only, as years as F/O are awarded towards salary.",107000,CHF,gross
https://www.pilotjobsnetwork.com/jobs/Atlantic_Airways,Atlantic Airways,2023,CaptMax,86528,86528,EUR,
https://www.pilotjobsnetwork.com/jobs/Atlantic_Airways,Atlantic Airways,2023,CaptMin,54824,54824,EUR,
https://www.pilotjobsnetwork.com/jobs/Exxaero,Exxaero,2020,CaptMax,6500,78000,EUR,
https://www.pilotjobsnetwork.com/jobs/Exxaero,Exxaero,2019,CaptMin,5000,60000,EUR,
https://www.pilotjobsnetwork.com/jobs/BA_Euroflyer,BA Euroflyer,2023,CaptMax,As Above. Top PP year 12.,,,
https://www.pilotjobsnetwork.com/jobs/BA_Euroflyer,BA Euroflyer,2023,CaptMin,As above.,,,
https://www.pilotjobsnetwork.com/jobs/Panaviatic_AS,Panaviatic AS,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Panaviatic_AS,Panaviatic AS,,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/TUI_fly_(TUI_Airlines_Netherlands),TUI fly (TUI Airlines Netherlands),2023,CaptMax,188.965 euro per annum,,,
https://www.pilotjobsnetwork.com/jobs/TUI_fly_(TUI_Airlines_Netherlands),TUI fly (TUI Airlines Netherlands),2023,CaptMin,"Around 124.412 euro per annum is the minimum (Depening on age, experience and years in the company)",,,
https://www.pilotjobsnetwork.com/jobs/Flybe_(PAS_Contract),Flybe (PAS Contract),,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Flybe_(PAS_Contract),Flybe (PAS Contract),2016,CaptMin,524 671 SEK,,,
https://www.pilotjobsnetwork.com/jobs/Flybe_(Q400)_(Closed),Flybe (Q400) (Closed),2022,CaptMax,50000,,,
https://www.pilotjobsnetwork.com/jobs/Flybe_(Q400)_(Closed),Flybe (Q400) (Closed),2022,CaptMin,50000,,,
https://www.pilotjobsnetwork.com/jobs/Vueling,Vueling,2022,CaptMax,146.924 before tax,,,
https://www.pilotjobsnetwork.com/jobs/Vueling,Vueling,2022,CaptMin,87.738 before tax,,,
https://www.pilotjobsnetwork.com/jobs/CMA_CGM_Air_Cargo,CMA CGM Air Cargo,2023,CaptMax,"12531 EUR basic salary, before tax, includes 60 hours.",,,
https://www.pilotjobsnetwork.com/jobs/CMA_CGM_Air_Cargo,CMA CGM Air Cargo,2023,CaptMin,"7791 EUR basic salary, before tax, includes 60 hours.",,,
https://www.pilotjobsnetwork.com/jobs/ECAir,ECAir,2013,CaptMax,100.000Ã¯Â¿Â½/year,,,
https://www.pilotjobsnetwork.com/jobs/ECAir,ECAir,,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/easyJet_(UK_Contract),easyJet (UK Contract),2019,CaptMax,147613,,,
https://www.pilotjobsnetwork.com/jobs/easyJet_(UK_Contract),easyJet (UK Contract),2022,CaptMin,112531,,,
https://www.pilotjobsnetwork.com/jobs/Trans_Maldivian_Airways,Trans Maldivian Airways,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Trans_Maldivian_Airways,Trans Maldivian Airways,,CaptMin,,,,
https://www.pilotjobsnetwork.com/jobs/TUI_Airways,TUI Airways,2023,CaptMax,"Â£144,779",,,
https://www.pilotjobsnetwork.com/jobs/TUI_Airways,TUI Airways,2023,CaptMin,"Â£118,766",,,
https://www.pilotjobsnetwork.com/jobs/Sprintair,Sprintair,,CaptMax,,,,
https://www.pilotjobsnetwork.com/jobs/Sprintair,Sprintair,2018,CaptMin,8000PLN+VAT+HR+DIEM,,,
https://www.pilotjobsnetwork.com/jobs/SmartLynx_Airlines,SmartLynx Airlines,2023,CaptMax,A320/ B737 >3000 BH May-Oct basic (80BH incl) monthly â¬9455; Nov-Apr basic (30BH incl) monthly â¬7800,,,
https://www.pilotjobsnetwork.com/jobs/SmartLynx_Airlines,SmartLynx Airlines,2023,CaptMin,A320/ B737 >500 BH May-Oct basic (80BH incl) monthly â¬8235; Nov-Apr basic (30BH incl) monthly â¬6600,,,
https://www.pilotjobsnetwork.com/jobs/Condor,Condor,2022,CaptMax,172.872 p.a.,,,
https://www.pilotjobsnetwork.com/jobs/Condor,Condor,2022,CaptMin,126.024 p.a.,,,
https://www.pilotjobsnetwork.com/jobs/Air_Senegal,Air Senegal,2023,CaptMax,A330: TRI-TRE 12000 (gross),,,
https://www.pilotjobsnetwork.com/jobs/Air_Senegal,Air Senegal,2023,CaptMin,A330: 10000 (gross),,,
https://www.pilotjobsnetwork.com/jobs/Iberia_L.A.E,Iberia L.A.E,2020,CaptMax,180.000Ã¢âÂ¬ LH 160.000Ã¢âÂ¬ SH,,,
https://www.pilotjobsnetwork.com/jobs/Iberia_L.A.E,Iberia L.A.E,2020,CaptMin,160.000Ã¢âÂ¬ LH 100.000Ã¢âÂ¬ SH,,,
https://www.pilotjobsnetwork.com/jobs/EuroAtlantic_Airways,EuroAtlantic Airways,2018,CaptMax,5000Ã¢âÂ¬ after taxes,,,
https://www.pilotjobsnetwork.com/jobs/EuroAtlantic_Airways,EuroAtlantic Airways,2018,CaptMin,3500Ã¢âÂ¬ after taxes,,,
https://www.pilotjobsnetwork.com/jobs/Blue_Islands,Blue Islands,2020,CaptMax,"ÃÂ£45,000",,,
https://www.pilotjobsnetwork.com/jobs/Blue_Islands,Blue Islands,2020,CaptMin,"ÃÂ£41,000",,,
